Timestamp,Distance
4,35.76
108,36.02
212,36.02
318,34.73
422,34.75
527,34.75
632,33.96
737,29.77
841,28.13
946,28.13
1050,28.13
1155,29.00
1259,29.00
1363,29.00
1468,29.52
1572,27.83
1677,29.52
1781,27.83
1886,29.28
1990,29.26
2095,35.79
2199,29.38
2305,29.28
2409,29.26
2513,29.26
2618,27.54
2722,29.26
2827,30.05
2931,26.67
3036,26.96
3140,27.56
3244,26.77
3349,30.05
3453,30.05
3558,30.05
3662,29.26
3767,29.28
3871,29.26
3976,28.71
4080,29.26
4185,29.26
4289,30.15
4393,29.38
4498,29.38
4602,29.36
4708,36.74
4812,30.58
4917,29.79
5021,29.36
5126,29.91
5229,4.61
5332,4.53
5437,29.79
5541,28.42
5646,28.43
5750,27.56
5855,29.79
5959,29.79
6064,36.03
6169,36.03
6274,36.74
6424,803.49
6574,803.53
6678,29.77
6782,29.36
6886,2.66
6988,4.94
7092,6.26
7195,6.48
7299,9.12
7402,9.47
7504,6.26
7608,4.29
7712,31.09
7817,30.05
7920,4.85
8025,39.50
8128,2.98
8230,3.33
8334,3.33
8436,3.33
8540,2.98
8643,6.14
8745,3.31
8849,4.63
8951,4.63
9055,4.63
9158,4.51
9261,2.98
9364,2.90
9466,3.00
9570,2.88
9672,2.98
9776,3.00
9878,4.61
9981,4.63
10084,3.00
10187,4.63
10291,3.22
10393,3.33
10497,3.31
10600,6.17
10702,4.96
10806,4.96
10909,4.85
11012,2.98
11115,2.88
11217,4.61
11321,3.00
11423,2.98
11527,2.98
11629,3.00
11732,2.98
11836,2.88
11938,5.61
12042,5.59
12147,37.20
12252,36.02
12355,5.49
12457,5.59
12561,5.59
12664,4.22
12767,2.98
12870,3.00
12973,3.00
13076,3.00
13179,3.00
13282,3.00
2,2.66
5004,2.35
55033,4.29
60037,3.65
65047,134.10
70060,155.46
75075,217.14
80081,65.79
